date,open,high,low,close,volume,short_ma,long_ma,position,signal
2017-02-28,179.38,180.63,179.35,179.82,3273335.0,180.674,180.754,0,-1
2017-03-01,180.48,182.55,180.03,181.95,3005564.0,180.834,180.93599999999998,0,0
2017-03-02,181.88,181.88,180.43,180.53,2918153.0,180.60999999999999,180.82099999999997,0,0
2017-03-03,180.04,181.32,179.7649,180.05,1825048.0,180.35,180.683,0,0
2017-03-06,179.72,180.99,179.57,180.47,3204434.0,180.56400000000002,180.66299999999998,0,0
2017-03-07,180.71,181.29,180.1997,180.38,2977596.0,180.676,180.675,1,1
2017-03-08,180.75,180.95,179.3,179.45,3557396.0,180.176,180.505,0,-1
2017-03-09,179.15,179.25,175.88,177.18,5444076.0,179.506,180.058,0,0
2017-03-10,178.21,179.49,177.42,177.83,3100116.0,179.06199999999998,179.70600000000002,0,0
2017-03-13,177.85,178.06,176.415,176.46,3482189.0,178.26,179.412,0,0
2017-03-14,176.18,176.82,175.211,175.72,3147497.0,177.328,179.002,0,0
2017-03-15,175.71,176.28,174.75,175.81,3815537.0,176.6,178.388,0,0
2017-03-16,178.46,179.0,176.82,177.24,4311848.0,176.612,178.05900000000003,0,0
2017-03-17,176.29,176.79,175.65,175.65,5920967.0,176.17600000000002,177.61899999999997,0,0
2017-03-20,175.65,176.18,175.14,175.7,2476125.0,176.024,177.142,0,0
2017-03-21,176.01,176.23,173.84,173.88,3927741.0,175.656,176.49200000000002,0,0
2017-03-22,174.04,175.06,172.8,174.78,3450512.0,175.45,176.025,0,0
2017-03-23,174.43,175.67,173.56,174.82,3739976.0,174.966,175.78900000000002,0,0
2017-03-24,175.12,175.5,173.39,173.83,3221672.0,174.602,175.38899999999998,0,0
2017-03-27,172.69,174.16,172.0937,173.77,3259049.0,174.216,175.11999999999998,0,0
2017-03-28,173.94,175.0,173.0,174.51,3523345.0,174.342,174.99900000000002,0,0
2017-03-29,174.3,174.49,173.46,173.94,3085606.0,174.17400000000004,174.81199999999998,0,0
2017-03-30,173.86,174.59,173.69,173.86,3168254.0,173.98200000000003,174.474,0,0
2017-03-31,173.98,174.95,173.69,174.14,2913684.0,174.044,174.323,0,0
2017-04-03,173.82,174.87,173.38,174.5,4286498.0,174.19,174.203,0,0
2017-04-04,173.52,174.96,173.26,174.52,3108855.0,174.192,174.267,0,0
2017-04-05,174.7,176.33,172.81,172.88,6238894.0,173.98,174.077,0,0
2017-04-06,173.47,173.47,172.25,172.45,3435403.0,173.69799999999998,173.84,0,0
2017-04-07,172.08,172.93,171.28,172.14,3588302.0,173.29799999999997,173.671,0,0
2017-04-10,172.53,172.56,171.0,171.2,3789936.0,172.638,173.41400000000002,0,0
2017-04-11,170.65,171.23,168.98,170.58,4890163.0,171.85,173.02100000000002,0,0
2017-04-12,171.04,171.2,170.02,170.66,3276931.0,171.406,172.693,0,0
2017-04-13,169.92,171.36,169.53,169.53,3205462.0,170.822,172.26,0,0
2017-04-17,169.75,171.3,169.62,171.1,3720218.0,170.614,171.956,0,0
2017-04-18,170.79,171.69,169.83,170.05,6345465.0,170.384,171.51100000000002,0,0
2017-04-19,161.76,162.64,159.6,161.69,19284300.0,168.606,170.228,0,0
2017-04-20,161.32,162.4,160.5,162.3,6486809.0,166.934,169.17000000000002,0,0
2017-04-21,162.05,162.11,160.38,160.38,5607756.0,165.10399999999998,167.963,0,0
2017-04-24,161.29,161.57,160.42,160.75,5320608.0,163.034,166.824,0,0
2017-04-25,161.78,162.04,160.38,160.39,4842189.0,161.102,165.743,0,0
2017-04-26,160.53,161.1,159.89,160.06,4311484.0,160.776,164.691,0,0
2017-04-27,160.29,160.48,159.63,160.32,4081640.0,160.38,163.65699999999998,0,0
2017-04-28,160.5,160.59,159.7,160.29,4029533.0,160.362,162.733,0,0
2017-05-01,160.05,160.42,158.7,158.84,4919710.0,159.98,161.507,0,0
2017-05-02,159.44,159.49,158.64,159.1,3149949.0,159.722,160.41199999999998,0,0
2017-05-03,158.74,159.45,158.52,158.63,3990429.0,159.43599999999998,160.106,0,0
2017-05-04,158.89,159.14,158.36,159.05,4271669.0,159.18200000000002,159.781,0,0
2017-05-05,153.52,155.78,153.0,155.05,12415240.0,158.13400000000001,159.248,0,0
2017-05-08,152.8,153.47,152.2,153.03,7415765.0,156.972,158.476,0,0
2017-05-09,152.6,153.1,151.5552,152.11,6823015.0,155.574,157.648,0,0
2017-05-10,151.651,152.37,151.13,151.25,4995590.0,154.098,156.767,0,0
2017-05-11,151.05,151.15,149.79,150.65,5546379.0,152.41800000000003,155.8,0,0
2017-05-12,150.3,151.265,150.0,150.37,3651964.0,151.48200000000003,154.80800000000002,0,0
2017-05-15,150.62,151.83,150.4502,151.51,4218359.0,151.17800000000003,154.075,0,0
2017-05-16,151.66,153.99,151.66,153.68,5452539.0,151.49200000000002,153.533,0,0
2017-05-17,153.3,154.14,150.89,150.93,5048937.0,151.42800000000003,152.76299999999998,0,0
2017-05-18,150.86,151.33,150.11,150.78,3268772.0,151.454,151.93599999999998,0,0
2017-05-19,151.01,152.46,150.89,151.98,5617824.0,151.776,151.629,1,1
2017-05-22,152.1,152.84,151.5992,152.64,3248372.0,152.002,151.59,1,0
2017-05-23,152.57,153.68,151.92,152.03,2563975.0,151.672,151.582,1,0
2017-05-24,152.21,152.76,151.23,152.51,3731333.0,151.988,151.708,1,0
2017-05-25,153.25,153.73,152.9459,153.2,2579828.0,152.47199999999998,151.96300000000002,1,0
2017-05-26,152.85,153.0,152.06,152.49,2440117.0,152.57399999999998,152.175,1,0
2017-05-30,151.95,152.67,151.59,151.73,3609710.0,152.392,152.19699999999997,1,0
2017-05-31,152.03,152.8,151.65,152.63,3496466.0,152.512,152.092,1,0
2017-06-01,152.8,152.87,151.63,152.67,2904189.0,152.54399999999998,152.26600000000002,1,0
2017-06-02,153.07,153.2,151.8,152.05,3573193.0,152.31400000000002,152.393,0,-1
2017-06-05,151.82,152.93,151.6826,152.41,3971157.0,152.298,152.436,0,0
2017-06-06,152.0,152.89,152.0,152.37,3786593.0,152.426,152.409,1,1
2017-06-07,153.05,154.2,150.8,150.98,4858631.0,152.096,152.304,0,-1
2017-06-08,151.0,152.82,150.92,152.1,3681319.0,151.98200000000003,152.26299999999998,0,0
2017-06-09,152.0,154.265,151.88,154.1,4355401.0,152.392,152.353,1,1
2017-06-12,154.19,157.2,154.02,155.18,6461725.0,152.946,152.62199999999999,1,0
2017-06-13,155.44,155.48,154.15,154.25,3509558.0,153.322,152.87399999999997,1,0
2017-06-14,153.97,154.9399,152.94,153.81,3035864.0,153.88799999999998,152.99200000000002,1,0
2017-06-15,153.29,154.69,153.29,154.22,4626272.0,154.31199999999998,153.147,1,0
